"answeredQuestions","asin","attributes/0/key","attributes/0/value","attributes/1/key","attributes/1/value","attributes/2/key","attributes/2/value","attributes/3/key","attributes/3/value","attributes/4/key","attributes/4/value","attributes/5/key","attributes/5/value","attributes/6/key","attributes/6/value","attributes/7/key","attributes/7/value","attributes/8/key","attributes/8/value","attributes/9/key","attributes/9/value","attributes/10/key","attributes/10/value","attributes/11/key","attributes/11/value","attributes/12/key","attributes/12/value","attributes/13/key","attributes/13/value","attributes/14/key","attributes/14/value","attributes/15/key","attributes/15/value","attributes/16/key","attributes/16/value","bestsellerRanks","bestsellerRanks/0/category","bestsellerRanks/0/rank","bestsellerRanks/0/url","bestsellerRanks/1/category","bestsellerRanks/1/rank","bestsellerRanks/1/url","bestsellerRanks/2/category","bestsellerRanks/2/rank","bestsellerRanks/2/url","bestsellerRanks/3/category","bestsellerRanks/3/rank","bestsellerRanks/3/url","brand","breadCrumbs","delivery","description","fastestDelivery","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","inStock","inStockText","listPrice","listPrice/currency","listPrice/value","locationText","manufacturerAttributes/0/key","manufacturerAttributes/0/value","manufacturerAttributes/1/key","manufacturerAttributes/1/value","manufacturerAttributes/2/key","manufacturerAttributes/2/value","manufacturerAttributes/3/key","manufacturerAttributes/3/value","manufacturerAttributes/4/key","manufacturerAttributes/4/value","manufacturerAttributes/5/key","manufacturerAttributes/5/value","manufacturerAttributes/6/key","manufacturerAttributes/6/value","manufacturerAttributes/7/key","manufacturerAttributes/7/value","manufacturerAttributes/8/key","manufacturerAttributes/8/value","price/currency","price/value","priceVariants","returnPolicy","reviewsCount","reviewsLink","seller","seller/averageRating","seller/id","seller/name","seller/reviewsCount","seller/url","shippingPrice","stars","starsBreakdown/1star","starsBreakdown/2star","starsBreakdown/3star","starsBreakdown/4star","starsBreakdown/5star","support","thumbnailImage","title","url","variantAsins/0","variantAsins/1","variantAsins/2","variantAsins/3","variantAsins/4","variantAsins/5","variantAsins/6","variantAsins/7","variantAsins/8","variantAsins/9","variantAsins/10","variantAsins/11","variantAsins/12","variantAsins/13","variantAsins/14","variantAsins/15","variantAsins/16","variantAsins/17","variantAsins/18","variantAsins/19","variantAsins/20","variantAsins/21","variantAsins/22","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value"
"53","B084KYKSPN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing, Shoes & Jewelry","3406","https://www.amazon.com/gp/bestsellers/fashion/ref=pd_zg_ts_fashion","Women's Athletic & Outdoor Sandals & Slides","5","https://www.amazon.com/gp/bestsellers/fashion/679365011/ref=pd_zg_hrsr_fashion","Men's Athletic & Outdoor Sandals & Slides","7","https://www.amazon.com/gp/bestsellers/fashion/679291011/ref=pd_zg_hrsr_fashion","Men's Sandals","17","https://www.amazon.com/gp/bestsellers/fashion/679320011/ref=pd_zg_hrsr_fashion","adidas","Clothing, Shoes & Jewelry › Men › Shoes › Athletic › Sport Sandals & Slides",,,,,,,,,,,,,,,,,,,"true","",,"$","55.89","United Kingdom",,,,,,,,,,,,,,,,,,,"$","18.9",,,"9552","/adidas-Unisex-Adult-Adilette-Slides-Sandal/product-reviews/B0BGM67F5Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.5","0.06","0.03","0.06","0.12","0.74",,"https://m.media-amazon.com/images/I/61rCnFODw-L.__AC_SX395_SY395_QL70_FMwebp_.jpg","adidas Unisex-Adult Adilette Aqua Slides Sandal","https://www.amazon.com/dp/B084KYKSPN",,,,,,,,,,,,,,,,,,,,,,,,,,,
"199","B06WP4XV8Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing, Shoes & Jewelry","285","https://www.amazon.com/gp/bestsellers/fashion/ref=pd_zg_ts_fashion","Men's Loafers & Slip-Ons","4","https://www.amazon.com/gp/bestsellers/fashion/679313011/ref=pd_zg_hrsr_fashion",,,,,,,"Hey Dude","Clothing, Shoes & Jewelry › Men › Shoes › Loafers & Slip-Ons",,,,"Fabric","Imported","manmade sole","Rounded Toe Design and Flex & Fold: This supports healthy feet with its unique shape giving complete freedom of movement. The Hey Dude Wally Men’s Lace Up Loafers Comfortable & Light-Weight will be an instant favorite in your modern-casual shoe collection and are the perfect men’s shoes.","Lightweight with Elastic Laces: Manufactured using an elastic material that allows them to flex with the foot, resulting in a shoe that fits more uniformly. Each shoe weighs 6 ounces or less making it one of the lightest pairs of shoes around. The ideal Hey Dude Shoes for Men that you will surely love.","Comfortable Durable High-Quality Material: Designed with you in mind. This Wally shoe boasts the comfort of walking on clouds. Featuring an insole that reduces odors, lightweight outsole, and breathable cotton fabric that makes the Wally one of the most comfortable shoes on the market.","Great For Travel & On The Go: The removable memory foam cushioned insole provides maximum comfort and reduces sweating and odors. Machine Washable Friendly (Cold). Sizing Tip: If you usually wear half sizes, we suggest choosing the next size up for the best overall fit.",,,,,,,,,"true","",,"$","98.99","Select your address",,,,,,,,,,,,,,,,,,,"$","32",,,"55852","/Hey-Dude-Multiple-Comfortable-Light-Weight/product-reviews/B01GTP6MYM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.7","0.02","0.01","0.03","0.09","0.85",,"https://m.media-amazon.com/images/I/81RIEmPzfQL.__AC_SX395_SY395_QL70_FMwebp_.jpg","Hey Dude Men's Wally Multiple Colors | Men’s Shoes | Men's Lace Up Loafers | Comfortable & Light-Weight","https://www.amazon.com/dp/B06WP4XV8Q",,,,,,,,,,,,,,,,,,,,,,,,,,,
"38","B09G2JTKNQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SHULOOK","Clothing, Shoes & Jewelry › Men › Shoes",,,,,,,,,,,,,,,,,,,"true","",,"$","62.99","Select your address","SL-HEAT Insulation Technology","The thick synthetic rabbit hair is to designed to retain heat, while the rest of the lining consists of highly breathable fabric that dissipate moisture and excess heat.","EVA Responsive Cushioning","Ultra-light EVA midsole provides superior cushioning, impact absorption, high energy return, and stepping comfort.  EVA material absorbs impact, and a greater percentage of that energy is recoverable as the midsole expands back to its unloaded shape during push-off.","Advanced Traction Technology","Durable rubber sole is equipped with a multi-terrain traction system that brings excellent anti-slip effect and stability, 4mm outward lugs provide the correct grip for various environments.",,,,,,,,,,,,,"$","59.99",,,"796","/Waterproof-Non-slip-Outdoor-High-top-Trekking/product-reviews/B09G31JJCQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.5","0.05","0.03","0.05","0.15","0.73",,"https://m.media-amazon.com/images/I/41SsqijKjJL._AC_.jpg","SHULOOK Men's Snow Boots Waterproof Warm Fur Lined Winter Hiking Boot Non-slip Outdoor Ankle High-top Shoes Work Hiker Trekking Trail","https://www.amazon.com/dp/B09G2JTKNQ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"8","B09X4F8X2C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing, Shoes & Jewelry","4394","https://www.amazon.com/gp/bestsellers/fashion/ref=pd_zg_ts_fashion","Men's Slippers","39","https://www.amazon.com/gp/bestsellers/fashion/679324011/ref=pd_zg_hrsr_fashion","Women's Slippers","71","https://www.amazon.com/gp/bestsellers/fashion/679433011/ref=pd_zg_hrsr_fashion",,,,"DepiYorSn","Clothing, Shoes & Jewelry › Women › Shoes",,,,,,,,,,,,,,,,,,,"true","",,"$","23.99","Select your address","","The comfortable plush fleece lining design provides marshmallow-like long-lasting comfort and warmth for tired toes and heels, balancing functionality and warmth, very suitable for indoor slippers, but also suitable for outdoor.","","The lightweight, durable and non-slip rubber sole can help you walk more smoothly. The sole not only provides good shock absorption, but also protects the floor from scratches.","","Slippers are made of fabric fabrics that are soft to the touch, moisture-absorbing and breathable, with good elasticity and drape. The fluffy and skin-friendly man-made plush material offers a cozy wearing experience. These slippers feel like a hug on your feet.",,,,,,,,,,,,,"$","23.98",,,"583","/Smiley-Slippers-Winter-Indoor-Memory/product-reviews/B09XLDCPBP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.5","0.05","0.03","0.04","0.1","0.77",,"https://m.media-amazon.com/images/I/41rllSQw8eL._AC_.jpg","Smiley Face Slippers Retro Cozy Comfy Plush Warm Slip-on Slippers Winter Soft Fuzzy Indoor House Shoes with Memory Foam for Men Women…","https://www.amazon.com/dp/B09X4F8X2C",,,,,,,,,,,,,,,,,,,,,,,,,,,
"40","B095WBPZJW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing, Shoes & Jewelry","1886","https://www.amazon.com/gp/bestsellers/fashion/ref=pd_zg_ts_fashion","Men's Sandals","9","https://www.amazon.com/gp/bestsellers/fashion/679320011/ref=pd_zg_hrsr_fashion","Women's Sandals","15","https://www.amazon.com/gp/bestsellers/fashion/679425011/ref=pd_zg_hrsr_fashion",,,,"Weweya","Clothing, Shoes & Jewelry › Men › Shoes › Sandals",,,,"Ethylene Vinyl Acetate sole","Heel measures approximately 1.57 inch""","Comfortable and Soft: the lightweight EVA material makes the shoes resilient and comfortable.","Fashion Design: With the popular double-buckle adjustable design, you can adjust the width of the foot at will. The Sandals suitable for many occasions: Indoor or outdoor, anywhere you want","Rubber Thick Sole & Reliable Grip: The sole uses soft EVA material and thick sole design, so that you have a better wearing experience. And the sole uses a ""drainage holes"" design. It can drain water quickly and maintain foot comfort.","Easy Care: Waterproof & Washable.","ATTENTION: Since the sandals are made of EVA, if exposed to the sun for a long time, the sandals will be deformed, please do not expose the sandals to the sun for a long time.",,,,,,,,,"true","",,"$","26.99","Select your address","Adjustable Double Buckle","With the design of double buckle adjustment, you can adjust the width of the shoes at will. The unique appearance of the combination of double buckle and thick sole makes you different from others.","Thick Sole: 1.57 inch""","1.57 inch"" thick sole, the design of the thick sole makes the sole soft and comfortable, making you as comfortable as stepping on bread, so that you will not feel tired when walking for a long time.","Lightweight & Comfortable","This shoe is made of light EVA material, so it makes you feel very comfortable and light when wearing it.","Soft & Durable","The whole shoe is made of EVA material, which makes the shoe have good softness, and this material also makes the shoe very durable and will not be easily worn out.","Anti Slip & Waterproof","The bottom of the shoe adopts a unique ""drain hole"" design, so that you are not afraid of water accumulation, and the non-slip sole ensures the safety of walking.","Fashionable & Leisure","Suitable for Many Occasions: Indoor or outdoor, anywhere you want",,,,,,,"$","21.99",,,"4947","/Weweya-Womens-Double-Buckle-Slipper/product-reviews/B095VTB2VZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.3","0.07","0.04","0.08","0.15","0.66",,"https://m.media-amazon.com/images/I/71HfWP2qxgL.__AC_SY395_SX395_QL70_FMwebp_.jpg","Weweya Cloud Sandals for Women and Men - Pillow Slippers - Double Buckle Adjustable Slides - EVA Flat Sandals","https://www.amazon.com/dp/B095WBPZJW",,,,,,,,,,,,,,,,,,,,,,,,,,,
"32","B08QBLQP2Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing, Shoes & Jewelry","6239","https://www.amazon.com/gp/bestsellers/fashion/ref=pd_zg_ts_fashion","Women's Basketball Shoes","1","https://www.amazon.com/gp/bestsellers/fashion/679341011/ref=pd_zg_hrsr_fashion",,,,,,,"Nike","Clothing, Shoes & Jewelry › Women › Shoes › Athletic › Team Sports › Basketball",,,,,,,,,,,,,,,,,,,"true","",,"$","154.1","Select your address",,,,,,,,,,,,,,,,,,,"$","115",,,"1976","/Nike-DD8959-001-Womens-Basketball-Shoe/product-reviews/B08QC4P75J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.5","0.06","0.02","0.03","0.09","0.8",,"https://m.media-amazon.com/images/I/31249QuqFeL._AC_.jpg","Nike Women's Modern,Classic Basketball Shoe","https://www.amazon.com/dp/B08QBLQP2Z","B08QB3S4YQ","B0B9FV6HDK","B09VPC6RT2","B0BNSS1LTD","B0BQZN6ZBF","B0BRJTFD35","B0BGJKNJTQ","B08QB6XZK3","B0BK28TRXG","B0BPDPRRXH","B09K619LD8","B0BS2Q6BL4","B0BS55FLQS","B08QB6WW4H","B0BG972YQG","B0B69TRZZB","B0BDGJ2Z7D","B097S337J3","B09BBKG7B5","B0BDRHGK88","B0BKFHR24Y","B0BPPY75SP",,"Size","","Color","White"
"9","B0093FXMLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing, Shoes & Jewelry","79362","https://www.amazon.com/gp/bestsellers/fashion/ref=pd_zg_ts_fashion","Men's Slippers","473","https://www.amazon.com/gp/bestsellers/fashion/679324011/ref=pd_zg_hrsr_fashion",,,,,,,"HEAT HOLDERS","Clothing, Shoes & Jewelry › Men › Clothing › Socks & Hosiery › Slipper Socks",,,,,,,,,,,,,,,,,,,"true","",,"$","21.99","Select your address",,,,,,,,,,,,,,,,,,,"$","19.94",,,"738","/HEAT-HOLDERS-Mens-Slipper-Socks/product-reviews/B08KPQDH16/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.6","0.75","0","0.25","0","0",,"https://m.media-amazon.com/images/I/51JWwdMod2L._AC_.jpg","HEAT HOLDERS Men's Slipper Socks","https://www.amazon.com/dp/B0093FXMLC",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"B09KZYG593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reebok","Clothing, Shoes & Jewelry › Men › Shoes › Fashion Sneakers",,,,,,,,,,,,,,,,,,,"true","",,,,"Select your address",,,,,,,,,,,,,,,,,,,"$","19.5",,,"33","/Reebok-Club-MEMT-Parafit/product-reviews/B09L1CMVJX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.2","0.07","0.05","0.07","0.19","0.62",,"https://m.media-amazon.com/images/I/31RTFNIuwmL._AC_.jpg","Reebok Club MEMT Parafit Unisex","https://www.amazon.com/dp/B09KZYG593",,,,,,,,,,,,,,,,,,,,,,,,,,,
"128","B09TPDQ24P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing, Shoes & Jewelry","66","https://www.amazon.com/gp/bestsellers/fashion/ref=pd_zg_ts_fashion","Men's Sandals","1","https://www.amazon.com/gp/bestsellers/fashion/679320011/ref=pd_zg_hrsr_fashion","Women's Slippers","1","https://www.amazon.com/gp/bestsellers/fashion/679433011/ref=pd_zg_hrsr_fashion","Men's Slippers","1","https://www.amazon.com/gp/bestsellers/fashion/679324011/ref=pd_zg_hrsr_fashion","BRONAX","Clothing, Shoes & Jewelry › Women › Shoes",,,,,,,,,,,,,,,,,,,"true","",,,,"Select your address","Ergonomic Design & Thick Sole","","Ethylene Vinyl Acetate Material","","Extremely Soft","","Step 1","Unique material support custom fit your feet.  Prepare a hair dryer.  Put on 2 pairs of regular socks.","Step 2","Use the maximum heat and wind of the hair dryer to soften the upper for about one minute.  Make sure that the air outlet is about 10-20 cm away from the upper.","Step 3","Put on the slides immediately and wait for 3-5 minutes, the slides will naturally remold to fit your feet.  Repeat steps 2 and 3 for the another slides.",,,,,,,"$","23.99",,,"27899","/BRONAX-Slippers-Bathroom-Extremely-Cushioned/product-reviews/B0BD4LD4MB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.4","0.06","0.04","0.08","0.13","0.7",,"https://m.media-amazon.com/images/I/31uqHvXY7bL._AC_.jpg","BRONAX Cloud Slippers for Women and Men | Pillow Slippers Bathroom Sandals | Extremely Comfy | Cushioned Thick Sole","https://www.amazon.com/dp/B09TPDQ24P",,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","B08B3Z2H3B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing, Shoes & Jewelry","14248","https://www.amazon.com/gp/bestsellers/fashion/ref=pd_zg_ts_fashion","Men's Slippers","107","https://www.amazon.com/gp/bestsellers/fashion/679324011/ref=pd_zg_hrsr_fashion","Women's Slippers","170","https://www.amazon.com/gp/bestsellers/fashion/679433011/ref=pd_zg_hrsr_fashion",,,,"Aoowoll","Clothing, Shoes & Jewelry › Men › Shoes › Slippers",,,,"EVA","Imported","Ethylene Vinyl Acetate sole","Heel measures approximately 0.8""","【Non-slip】The sole has a lot of anti-skid bumps, which can ensure a good anti-slip effect and is very effective in the bathroom and swimming pool.","【Quick Drying】This shower shoes sole has a unique design of ""drain holes"", those holes can quickly drain the water on your feet, keeping your feet dry and comfortable after showering and swimming.","【Soft & Comfortable】Using high-elastic EVA material, the shoes are soft, lightweight, and wear-resistant. When you wear it at home, you will feel very comfortable and relaxed.","【Massage】There are many soft small bumps on the surface of the sole to provide you with a massage experience.","【Suitable Scene】Bathroom, gym, house, dorm, Bath, indoor, Swimming pool, Spa, hotels, Leisure, etc. Perfect For Summer, Spring, Autumn, and Winter, Indoor bedroom.",,,,,,,"true","",,"$","16.86","Select your address","Soft & Comfortable","Using high-elastic EVA material, the shoes are soft, lightweight, and wear-resistant. When you wear it at home, you will feel very comfortable and relaxed.","Non-slip","The sole has a lot of anti-skid bumps, which can ensure a good anti-slip effect and is very effective in the bathroom and swimming pool.","Quick Drying","This shower shoes sole has a unique design of ""drain holes"", those holes can quickly drain the water on your feet, keeping your feet dry and comfortable after showering and swimming.",,,,,,,,,,,,,"$","10.86",,,"1088","/Shower-Quickly-Slippers-Bedroom-College/product-reviews/B08YJ3ST41/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.5","0.03","0.03","0.05","0.16","0.72",,"https://m.media-amazon.com/images/I/61mQyO5ZkeL.__AC_SX395_SY395_QL70_FMwebp_.jpg","Mens Shower Shoes With Holes Dry Quickly Bath Slippers Womens Non Slip Indoor Home Bedroom Pool Spa Guest College Dorm","https://www.amazon.com/dp/B08B3Z2H3B","B08L5BTRTS","B08B3HMYGF","B09V8B292C","B08B3Y5667","B08B3ZXWHF","B09FJR321C","B08YJZMFT8","B08YJP2ZJL","B08YJJGVZL","B08YJJHJKW",,,,,,,,,,,,,,"Color","C-black","Size",""
